




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5080993 Released 2021-07-02
Analyzed List:	DEseq_kmeans_all_1v2_sigDOWN.txt (Homo sapiens)
Reference List:	counts_batchnorm_genelist.txt (Homo sapiens)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	9057
GO biological process complete	counts_batchnorm_genelist.txt - REFLIST (19097)	DEseq_kmeans_all_1v2_sigDOWN.txt (1151)	DEseq_kmeans_all_1v2_sigDOWN.txt (expected)	DEseq_kmeans_all_1v2_sigDOWN.txt (over/under)	DEseq_kmeans_all_1v2_sigDOWN.txt (fold Enrichment)	DEseq_kmeans_all_1v2_sigDOWN.txt (P-value)
elastic fiber assembly (GO:0048251)	11	9	.66	+	13.57	5.17E-03
collagen fibril organization (GO:0030199)	56	28	3.38	+	8.30	6.27E-11
extracellular matrix assembly (GO:0085029)	33	15	1.99	+	7.54	3.21E-04
embryonic digestive tract development (GO:0048566)	31	12	1.87	+	6.42	2.89E-02
complement activation (GO:0006956)	50	18	3.01	+	5.97	2.58E-04
extracellular matrix organization (GO:0030198)	263	77	15.85	+	4.86	3.24E-22
extracellular structure organization (GO:0043062)	264	77	15.91	+	4.84	3.96E-22
external encapsulating structure organization (GO:0045229)	266	77	16.03	+	4.80	5.91E-22
aorta development (GO:0035904)	53	15	3.19	+	4.70	4.45E-02
chondrocyte differentiation (GO:0002062)	68	17	4.10	+	4.15	4.41E-02
cartilage development (GO:0051216)	153	38	9.22	+	4.12	9.17E-08
biomineralization (GO:0110148)	95	23	5.73	+	4.02	1.62E-03
biomineral tissue development (GO:0031214)	95	23	5.73	+	4.02	1.62E-03
connective tissue development (GO:0061448)	203	48	12.24	+	3.92	8.33E-10
cell-matrix adhesion (GO:0007160)	124	29	7.47	+	3.88	8.15E-05
artery development (GO:0060840)	89	20	5.36	+	3.73	2.71E-02
muscle cell development (GO:0055001)	148	32	8.92	+	3.59	7.28E-05
regulation of animal organ morphogenesis (GO:2000027)	125	27	7.53	+	3.58	1.07E-03
regulation of endothelial cell proliferation (GO:0001936)	135	29	8.14	+	3.56	4.09E-04
ossification (GO:0001503)	267	55	16.09	+	3.42	1.80E-09
cell-substrate adhesion (GO:0031589)	181	37	10.91	+	3.39	1.91E-05
muscle cell differentiation (GO:0042692)	248	48	14.95	+	3.21	4.13E-07
cardiac chamber morphogenesis (GO:0003206)	119	23	7.17	+	3.21	4.67E-02
positive regulation of cell-substrate adhesion (GO:0010811)	128	24	7.71	+	3.11	4.63E-02
blood vessel development (GO:0001568)	492	91	29.65	+	3.07	8.41E-15
vasculature development (GO:0001944)	514	95	30.98	+	3.07	1.44E-15
mesenchyme development (GO:0060485)	224	41	13.50	+	3.04	4.44E-05
regulation of heart contraction (GO:0008016)	193	35	11.63	+	3.01	7.14E-04
respiratory system development (GO:0060541)	200	36	12.05	+	2.99	5.51E-04
skeletal system development (GO:0001501)	478	86	28.81	+	2.99	3.46E-13
positive regulation of chemotaxis (GO:0050921)	145	26	8.74	+	2.98	3.89E-02
blood vessel morphogenesis (GO:0048514)	411	73	24.77	+	2.95	1.63E-10
regulation of blood pressure (GO:0008217)	187	33	11.27	+	2.93	2.89E-03
positive regulation of epithelial cell proliferation (GO:0050679)	194	34	11.69	+	2.91	2.22E-03
respiratory tube development (GO:0030323)	177	31	10.67	+	2.91	7.52E-03
positive regulation of angiogenesis (GO:0045766)	160	28	9.64	+	2.90	2.55E-02
positive regulation of vasculature development (GO:1904018)	160	28	9.64	+	2.90	2.55E-02
lung development (GO:0030324)	173	30	10.43	+	2.88	1.35E-02
regulation of blood circulation (GO:1903522)	243	42	14.65	+	2.87	1.25E-04
cardiac chamber development (GO:0003205)	162	28	9.76	+	2.87	3.15E-02
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	244	42	14.71	+	2.86	1.39E-04
regulation of vasculature development (GO:1901342)	285	49	17.18	+	2.85	9.16E-06
