




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5080993 Released 2021-07-02
Analyzed List:	DEseq_kmeans_all_3v2_sigUP.txt (Homo sapiens)
Reference List:	counts_batchnorm_genelist.txt (Homo sapiens)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	9065
GO biological process complete	counts_batchnorm_genelist.txt - REFLIST (19989)	DEseq_kmeans_all_3v2_sigUP.txt (2226)	DEseq_kmeans_all_3v2_sigUP.txt (expected)	DEseq_kmeans_all_3v2_sigUP.txt (over/under)	DEseq_kmeans_all_3v2_sigUP.txt (fold Enrichment)	DEseq_kmeans_all_3v2_sigUP.txt (P-value)
keratinization (GO:0031424)	57	28	6.35	+	4.41	6.19E-05
neutrophil migration (GO:1990266)	87	32	9.69	+	3.30	1.27E-03
granulocyte chemotaxis (GO:0071621)	82	30	9.13	+	3.29	3.38E-03
neutrophil chemotaxis (GO:0030593)	77	28	8.57	+	3.27	9.03E-03
granulocyte migration (GO:0097530)	95	34	10.58	+	3.21	8.90E-04
keratinocyte differentiation (GO:0030216)	107	37	11.92	+	3.11	5.08E-04
myeloid leukocyte migration (GO:0097529)	123	36	13.70	+	2.63	2.89E-02
myeloid leukocyte activation (GO:0002274)	134	39	14.92	+	2.61	1.10E-02
leukocyte chemotaxis (GO:0030595)	142	41	15.81	+	2.59	6.42E-03
antimicrobial humoral response (GO:0019730)	138	39	15.37	+	2.54	1.78E-02
cellular response to molecule of bacterial origin (GO:0071219)	192	54	21.38	+	2.53	2.31E-04
epidermal cell differentiation (GO:0009913)	160	45	17.82	+	2.53	4.00E-03
cellular response to lipopolysaccharide (GO:0071222)	182	50	20.27	+	2.47	1.88E-03
cellular response to biotic stimulus (GO:0071216)	217	58	24.17	+	2.40	3.79E-04
cell chemotaxis (GO:0060326)	202	53	22.49	+	2.36	2.39E-03
skin development (GO:0043588)	231	58	25.72	+	2.25	2.62E-03
leukocyte migration (GO:0050900)	225	56	25.06	+	2.23	5.32E-03
response to molecule of bacterial origin (GO:0002237)	336	81	37.42	+	2.16	4.44E-05
epidermis development (GO:0008544)	278	65	30.96	+	2.10	3.92E-03
response to lipopolysaccharide (GO:0032496)	319	74	35.52	+	2.08	8.76E-04
inflammatory response (GO:0006954)	501	114	55.79	+	2.04	7.69E-07
cytokine-mediated signaling pathway (GO:0019221)	353	80	39.31	+	2.04	5.92E-04
regulation of immune effector process (GO:0002697)	339	74	37.75	+	1.96	7.08E-03
chemotaxis (GO:0006935)	499	104	55.57	+	1.87	2.64E-04
taxis (GO:0042330)	502	104	55.90	+	1.86	4.01E-04
regulation of cell-cell adhesion (GO:0022407)	441	89	49.11	+	1.81	9.92E-03
positive regulation of cytokine production (GO:0001819)	463	92	51.56	+	1.78	1.20E-02
regulation of cytokine production (GO:0001817)	713	138	79.40	+	1.74	1.15E-04
defense response (GO:0006952)	1358	261	151.23	+	1.73	2.03E-11
cellular response to cytokine stimulus (GO:0071345)	701	133	78.06	+	1.70	4.79E-04
